Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Abel	William		C	TX31	2024	5/12/2024	10060658
	Adams	Sheryl L.		W	CA49	2024	4/22/2024	7940
Dr.	Adolph	Kiley		X	IN03	2024	4/23/2024	30020859
Dr.	Alexander	Myrtle Patricia		D	DC00	2024	1/31/2024	8220122
Hon.	Allen	Richard W.		P	GA12	2024	1/11/2024	20024277
Hon.	Allen	Richard W.		P	GA12	2024	2/16/2024	20024458
Dr.	Almonord	Valbrun		C	GA00	2024	2/16/2024	10056790
	Altekar	Girish		C	TX37	2024	3/24/2024	10056916
	Anderson	Derrick		X	VA07	2024	4/23/2024	30020842
	Antropov	Jayden		D	FL22	2024	5/10/2024	40003638
Mr.	Armey	Scott		W		2024		8220253
	Atkinson	James Fredrick		C	PA11	2024	2/28/2024	10056839
	Austin	Kyle Ray		C	MT02	2024	3/7/2024	10056874
	Avlon	John		X	NY01	2024	3/13/2024	30019623
	Baccam	Lanon		X	IA03	2024	4/30/2024	30020954
Mr.	Bach	Kenneth James		C	PA14	2024	4/20/2024	10057765
	Baker	Arthur Radford	Jr.	C	MD03	2024	4/23/2024	10059065
	Baker	Dennis		C	OK01	2024	5/10/2024	10060536
	Banweg	Chris		C	OH13	2024	4/23/2024	10059052
	Barca	Peter		X	WI01	2024	5/8/2024	8220255
Hon.	Barragan	Nanette		P	CA44	2024	3/27/2024	20024750
Hon.	Barragan	Nanette		P	CA44	2024	4/25/2024	20024923
	Barry	Megan		C	TN07	2024	5/4/2024	10059689
	Barsoom	Raafat		C	NJ11	2024	3/1/2024	10056848
	Baugh	Scott		C	CA47	2024	4/26/2024	10058947
	Baumgartner	Michael James		C	WA05	2024	3/24/2024	10056877
	Becker	Rick		C	ND00	2024	2/21/2024	10056708
	Belnome	Joseph		C	NJ11	2024	3/15/2024	10056845
Mr.	Bennett	Jim		C	GA03	2024	4/18/2024	10057697
Hon.	Bentz	Cliff		P	OR02	2024	2/13/2024	20024492
	Bernstein	Joby		W	CA16	2024	4/22/2024	7938
	Berry	Rodney		W	SC07	2024	3/4/2024	7923
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	3/31/2024	20024769
	Biggs	Sheri		C	SC03	2024	3/27/2024	10056896
	Biggs	Sheri		X	SC03	2024	2/21/2024	30019610
	Bishop	Kevin Daniel		C	SC03	2024	4/19/2024	10057496
	Blair	Raymond J.	Jr.	W		2024		8220198
	Blair	Raymond J.	Jr.	X	GA03	2024	2/27/2024	30019617
	Blalock	Clarence		C	GA14	2024	4/6/2024	10056974
	Blewett	David		C	TX32	2024	2/5/2024	10056727
	Blood	Carol		C	NE01	2024	4/15/2024	10057341
	Blood	Carol		X	NE01	2024	2/27/2024	30019616
Hon.	Blumenauer	Earl		P	OR03	2024	1/4/2024	20024254
Hon.	Blumenauer	Earl		P	OR03	2024	3/2/2024	20024580
Hon.	Blumenauer	Earl		P	OR03	2024	3/12/2024	20024671
Hon.	Blumenauer	Earl		P	OR03	2024	4/4/2024	20024797
Hon.	Blumenauer	Earl		P	OR03	2024	5/4/2024	20024984
	Bogner	Ken		C	MT02	2024	3/24/2024	10056927
	Bohan	Patrick		C	CO07	2024	4/26/2024	10057692
	Bohman	Rachel		X	MN01	2024	3/20/2024	30019626
	Boudreaux	Michael		C	CA20	2024	4/5/2024	10056950
	Bousbar	Sabrina		C	FL13	2024	3/1/2024	10056834
Dr.	Bowman	Bruce A.		C	MO03	2024	5/2/2024	10059578
	Bowman	John		W	MO05	2024	4/19/2024	7934
Mr.	Bowman	Thomas William		D	MN02	2024	5/10/2024	40003639
	Bresnahan	Rob		X	PA08	2024	4/30/2024	30020918
	Briody	Patrick James		C	AZ08	2024	5/11/2024	10059269
	Brown	Leigh		X	NC08	2024	4/23/2024	30019829
	Bucco	Carmen		C	NJ10	2024	3/27/2024	10056934
Hon.	Buck	Kenneth R.		X	CO04	2024	4/8/2024	30019636
Hon.	Burgess	Michael C.		P	TX26	2024	1/8/2024	20024265
Hon.	Burgess	Michael C.		P	TX26	2024	1/22/2024	20024330
Hon.	Burgess	Michael C.		P	TX26	2024	2/5/2024	20024437
Hon.	Burgess	Michael C.		P	TX26	2024	3/7/2024	20024627
Hon.	Burgess	Michael C.		P	TX26	2024	3/22/2024	20024722
Hon.	Burgess	Michael C.		P	TX26	2024	4/10/2024	20024838
Hon.	Burgess	Michael C.		P	TX26	2024	5/2/2024	20024966
	Buskirk	Paul		C	KS01	2024	5/12/2024	10060629
	Butierez	Daniel		C	AZ07	2024	4/19/2024	10058788
Ms.	Camp	Lori Ann		C	IN02	2024	4/6/2024	10056857
	Campbell	Bill		C	UT01	2024	4/1/2024	10056952
	Cantrell	George Allen		C	GA03	2024	3/30/2024	10056947
	Carrier	Jamison		C	IN06	2024	4/7/2024	10056837
Dr.	Casey	Michael Arthur		W	MN04	2024	4/29/2024	7950
Hon.	Casten	Sean		P	IL06	2024	1/16/2024	20023805
Hon.	Castor	Kathy		P	FL14	2024	3/28/2024	20024754
	Castro	Dustin		W	CO04	2024	2/1/2024	7917
	Catala	Ryan Joshua		W	TX12	2024	4/19/2024	7933
Mrs.	Centonze	Lana		C	TX18	2024	5/5/2024	10059791
	Chaudhry-Ahmad	Jamil O.		C	OR01	2024	4/14/2024	10057006
	Cheng	Austin Franklin		W	NY03	2024	4/24/2024	7946
	Cherny	Andrei		X	AZ01	2024	4/23/2024	30019824
	Choharis	Peter Charles		C	MD06	2024	4/14/2024	10056997
	Christian	Jerrad Shane		C	OH12	2024	4/18/2024	10057696
Hon.	Chu	Judy		P	CA28	2024	1/21/2024	20024347
Dr.	Chu	Weiming David		W	CA47	2024	4/19/2024	7935
	Cisneros	Gilbert		X	CA31	2024	4/23/2024	30019836
Hon.	Clark	Katherine M.		P	MA05	2024	2/12/2024	20024435
Hon.	Clark	Katherine M.		P	MA05	2024	3/5/2024	20024588
Hon.	Clark	Katherine M.		P	MA05	2024	4/4/2024	20024795
	Clatterbuck	Thomas		W	IL13	2024	5/2/2024	7953
	Cleveland	Scott		C	ID02	2024	2/6/2024	10056732
Mr.	Coester	C. Mark		C	VT00	2024	5/10/2024	10060476
Hon.	Cohen	Steve		P	TN09	2024	1/4/2024	20024188
Hon.	Cohen	Steve		P	TN09	2024	2/28/2024	20024540
	Cohn	Joseph		C	NJ03	2024	3/28/2024	10056902
	Cohn	Joseph		X	NJ03	2024	2/21/2024	30019609
Mrs.	Coleman	Octavia		D	GA13	2024	2/5/2024	40003599
Hon.	Collins	Michael A.		P	GA10	2024	1/9/2024	20024275
	Compton	William Dakota		C	KY02	2024	4/18/2024	10057759
Hon.	Connolly	Gerald E.		P	VA11	2024	3/22/2024	20024728
	Cooper	David Charles		W	GA09	2024	4/30/2024	7952
	Cooper	Terri Kay		C	WA05	2024	5/11/2024	10060596
	Corsetti	Todd Alan		D	ID02	2024	3/21/2024	40003616
	Corvi	Steven J.		A	RI02	2024	4/25/2024	10059152
	Corvi	Steven J.		C	RI02	2024	4/25/2024	10056993
	Cotter Smasal	Missy		C	VA02	2024	5/12/2024	10060625
	Cox	Amy		C	OH10	2024	5/12/2024	10060627
	Crabb	Vincent Darrell		C	TX25	2024	2/5/2024	10056719
	Crandall	Terry Lawrence		C	CA47	2024	2/8/2024	10056748
	Crane	Mike		C	GA03	2024	2/9/2024	10056756
	Craven	Michael Andrew		D	KY03	2024	4/17/2024	8220215
Mr.	Cuddy	Dave		C	TX35	2024	1/31/2024	8220148
	Cunningham	Candace L.		D	AZ03	2024	1/16/2024	40003584
	Dahan	Liz		X	FL13	2024	5/8/2024	30021135
	Dahlin	Kathryn W.		C	UT03	2024	3/27/2024	10056930
	Dahlstrom	Nancy		C	AK00	2024	4/30/2024	10059429
	Daughtry	Kelly		C	NC13	2024	2/2/2024	8220124
	Davie	Matthew		C	OR05	2024	2/27/2024	10056831
	Davis	Lawrence John		C	CO01	2024	4/3/2024	10056961
	De Franceschi	Vladimir		C	TX26	2024	2/4/2024	10056698
	De Franceschi	Vladimir		X	TX26	2024	2/9/2024	8220138
Hon.	DelBene	Suzan K.		P	WA01	2024	1/22/2024	20024317
Hon.	DelBene	Suzan K.		P	WA01	2024	2/5/2024	20024425
Hon.	DelBene	Suzan K.		P	WA01	2024	2/21/2024	20024495
Hon.	DelBene	Suzan K.		P	WA01	2024	3/8/2024	20024581
	Denton	Jake		X	VA02	2024	2/21/2024	30019605
	DeSpain	Monique		C	OR04	2024	5/2/2024	10057767
	Deters	Eric		C	KY04	2024	3/5/2024	10056867
	Deters	Eric		X	KY04	2024	2/7/2024	30019583
	Devoe	Marion		A	VA10	2024	3/26/2024	10056935
	Devoe	Marion		A	VA10	2024	4/14/2024	10057008
	Devoe	Marion		C	VA10	2024	1/28/2024	10056670
	Devoe	Marion		D	VA10	2024	2/1/2024	8220153
	Diehl	Abigdail		O	MD03	2024	4/12/2024	8220216
Hon.	Dingell	Debbie		P	MI06	2024	2/15/2024	20024270
	Dixon	Peter		W	CA16	2024	4/23/2024	7941
Hon.	Doggett	Lloyd		P	TX37	2024	1/8/2024	20024268
Hon.	Doggett	Lloyd		P	TX37	2024	3/5/2024	20024611
Hon.	Doggett	Lloyd		P	TX37	2024	4/9/2024	20024839
Hon.	Doggett	Lloyd		P	TX37	2024	5/6/2024	20024997
	Donnelly	Ryan		C	NH02	2024	5/1/2024	10059489
	Dorris	Clint		W	TX12	2024	4/18/2024	7932
	Dougall	John		C	UT03	2024	3/21/2024	10056759
Dr.	Douglass	Eugene Farley		C	NC02	2024	4/18/2024	10057739
	Dudley	Stephen Paul		C	TX14	2024	2/13/2024	10056772
	Dunlap	Harry William		C	FL12	2024	5/11/2024	10056865
	Dunn	Harry		C	MD03	2024	4/13/2024	10056829
